Title:,Missouri Resident Deaths ,
Data selected in addition to rows and columns below:,None,,
Year: ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,Total for selection , ,
Statistics: ,Count ,Count ,Count ,Count ,Count ,Count ,Count ,Count , ,
Shelby ,86 ,85 ,98 ,67 ,75 ,97 ,87 ,595 , ,
St. Charles ,2744 ,2839 ,2998 ,3148 ,3125 ,3792 ,3662 ,22308 , ,
St. Clair ,161 ,151 ,143 ,117 ,142 ,165 ,153 ,1032 , ,
St. Francois ,779 ,747 ,797 ,808 ,782 ,973 ,1028 ,5914 , ,
St. Louis City ,2967 ,3016 ,3130 ,3035 ,3022 ,3666 ,3423 ,22259 , ,
St. Louis County ,9970 ,10002 ,10263 ,10876 ,10313 ,12502 ,11370 ,75296 , ,
Ste. Genevieve ,198 ,192 ,196 ,216 ,183 ,206 ,247 ,1438 , ,
Stoddard ,432 ,383 ,402 ,407 ,385 ,454 ,449 ,2912 , ,
Stone ,360 ,404 ,409 ,444 ,424 ,454 ,498 ,2993 , ,
Sullivan ,66 ,57 ,79 ,83 ,68 ,84 ,87 ,524 , ,
Taney ,615 ,590 ,650 ,600 ,597 ,718 ,796 ,4566 , ,
Texas ,321 ,297 ,309 ,331 ,330 ,394 ,440 ,2422 , ,
Vernon ,274 ,237 ,258 ,237 ,243 ,281 ,339 ,1869 , ,
Warren ,289 ,300 ,322 ,324 ,296 ,373 ,463 ,2367 , ,
Washington ,294 ,301 ,313 ,273 ,305 ,372 ,398 ,2256 , ,
Wayne ,199 ,187 ,199 ,213 ,158 ,223 ,242 ,1421 , ,
Webster ,355 ,326 ,355 ,393 ,366 ,435 ,507 ,2737 , ,
Worth ,31 ,37 ,35 ,25 ,28 ,29 ,32 ,217 , ,
Wright ,210 ,246 ,292 ,272 ,246 ,232 ,292 ,1790 , ,
Total for selection ,59809 ,59823 ,61865 ,63109 ,62155 ,73882 ,73831 ,454474 , ,
Missouri ,59810 ,59824 ,61866 ,63110 ,62155 ,73883 ,73831 ,454479 , ,
Source:,DHSS - MOPHIMS - Death MICA  ,
Generated On:,2/10/2025 2:26:07 AM  ,
